Country Name,Indicator Code,2005
Morocco,UIS.TE_100000.56.F,1071.294434
Morocco,UIS.TE_100000.56.M,1351.810425
Mozambique,UIS.TE_100000.56,133.944397
Mozambique,UIS.TE_100000.56.F,85.90981293
Mozambique,UIS.TE_100000.56.M,185.2753906
Myanmar,UIS.TE_100000.56,
Myanmar,UIS.TE_100000.56.F,
Myanmar,UIS.TE_100000.56.M,
Namibia,UIS.TE_100000.56,669.2563477
Namibia,UIS.TE_100000.56.F,611.2355347
Namibia,UIS.TE_100000.56.M,730.0789795
Nauru,UIS.TE_100000.56,
Nauru,UIS.TE_100000.56.F,
Nauru,UIS.TE_100000.56.M,
Nepal,UIS.TE_100000.56,733.7833862
Nepal,UIS.TE_100000.56.F,538.5354004
Nepal,UIS.TE_100000.56.M,932.5092163
Netherlands,UIS.TE_100000.56,3459.437012
Netherlands,UIS.TE_100000.56.F,3491.614502
Netherlands,UIS.TE_100000.56.M,3426.58374
New Caledonia,UIS.TE_100000.56,
New Caledonia,UIS.TE_100000.56.F,
New Caledonia,UIS.TE_100000.56.M,
New Zealand,UIS.TE_100000.56,5804.122559
New Zealand,UIS.TE_100000.56.F,6680.162109
New Zealand,UIS.TE_100000.56.M,4891.312988
Nicaragua,UIS.TE_100000.56,
Nicaragua,UIS.TE_100000.56.F,
Nicaragua,UIS.TE_100000.56.M,
Niger,UIS.TE_100000.56,80.07897949
Niger,UIS.TE_100000.56.F,47.51927185
Niger,UIS.TE_100000.56.M,112.393898
Nigeria,UIS.TE_100000.56,996.7151489
Nigeria,UIS.TE_100000.56.F,823.6564331
Nigeria,UIS.TE_100000.56.M,1164.759766
Northern Mariana Islands,UIS.TE_100000.56,
Northern Mariana Islands,UIS.TE_100000.56.F,
Northern Mariana Islands,UIS.TE_100000.56.M,
Norway,UIS.TE_100000.56,4626.341797
Norway,UIS.TE_100000.56.F,5466.432617
Norway,UIS.TE_100000.56.M,3772.02124
Oman,UIS.TE_100000.56,1933.989136
Oman,UIS.TE_100000.56.F,2227.86792
Oman,UIS.TE_100000.56.M,1701.959351
Pakistan,UIS.TE_100000.56,510.3282776
Pakistan,UIS.TE_100000.56.F,475.2634583
Pakistan,UIS.TE_100000.56.M,543.3070679
Palau,UIS.TE_100000.56,
Palau,UIS.TE_100000.56.F,
Palau,UIS.TE_100000.56.M,
Panama,UIS.TE_100000.56,3803.270752
Panama,UIS.TE_100000.56.F,4681.619629
Panama,UIS.TE_100000.56.M,2936.121094
Papua New Guinea,UIS.TE_100000.56,
Papua New Guinea,UIS.TE_100000.56.F,
Papua New Guinea,UIS.TE_100000.56.M,
Paraguay,UIS.TE_100000.56,2687.036377
Paraguay,UIS.TE_100000.56.F,2849.360596
Paraguay,UIS.TE_100000.56.M,2528.804932
Peru,UIS.TE_100000.56,3289.756104
Peru,UIS.TE_100000.56.F,3286.784912
Peru,UIS.TE_100000.56.M,3292.730957
Philippines,UIS.TE_100000.56,2789.192871
Philippines,UIS.TE_100000.56.F,3038.986816
Philippines,UIS.TE_100000.56.M,2541.965088
Poland,UIS.TE_100000.56,5506.727539
Poland,UIS.TE_100000.56.F,6145.60791
Poland,UIS.TE_100000.56.M,4827.51709
Portugal,UIS.TE_100000.56,3634.865479
Portugal,UIS.TE_100000.56.F,3919.077881
Portugal,UIS.TE_100000.56.M,3331.507324
Puerto Rico,UIS.TE_100000.56,
Puerto Rico,UIS.TE_100000.56.F,
Puerto Rico,UIS.TE_100000.56.M,
Qatar,UIS.TE_100000.56,1158.886597
Qatar,UIS.TE_100000.56.F,2372.636963
Qatar,UIS.TE_100000.56.M,552.2941284
Romania,UIS.TE_100000.56,3451.135742
Romania,UIS.TE_100000.56.F,3680.398926
Romania,UIS.TE_100000.56.M,3210.231201
Russian Federation,UIS.TE_100000.56,6268.658203
Russian Federation,UIS.TE_100000.56.F,6689.858398
Russian Federation,UIS.TE_100000.56.M,5784.755371
Rwanda,UIS.TE_100000.56,308.4623718
Rwanda,UIS.TE_100000.56.F,
Rwanda,UIS.TE_100000.56.M,
Samoa,UIS.TE_100000.56,
Samoa,UIS.TE_100000.56.F,
Samoa,UIS.TE_100000.56.M,
San Marino,UIS.TE_100000.56,
San Marino,UIS.TE_100000.56.F,
San Marino,UIS.TE_100000.56.M,
Sao Tome and Principe,UIS.TE_100000.56,
Sao Tome and Principe,UIS.TE_100000.56.F,
Sao Tome and Principe,UIS.TE_100000.56.M,
Saudi Arabia,UIS.TE_100000.56,2439.948975
Saudi Arabia,UIS.TE_100000.56.F,3203.106201
Saudi Arabia,UIS.TE_100000.56.M,1835.689209
Senegal,UIS.TE_100000.56,524.6875
Senegal,UIS.TE_100000.56.F,
Senegal,UIS.TE_100000.56.M,
Serbia,UIS.TE_100000.56,3028.394043
Serbia,UIS.TE_100000.56.F,3273.820801
Serbia,UIS.TE_100000.56.M,2769.074951
Seychelles,UIS.TE_100000.56,
Seychelles,UIS.TE_100000.56.F,
Seychelles,UIS.TE_100000.56.M,
Sierra Leone,UIS.TE_100000.56,
Sierra Leone,UIS.TE_100000.56.F,
Sierra Leone,UIS.TE_100000.56.M,
Singapore,UIS.TE_100000.56,
Singapore,UIS.TE_100000.56.F,
Singapore,UIS.TE_100000.56.M,
Sint Maarten (Dutch part),UIS.TE_100000.56,
Sint Maarten (Dutch part),UIS.TE_100000.56.F,
Sint Maarten (Dutch part),UIS.TE_100000.56.M,
Slovak Republic,UIS.TE_100000.56,3368.849121
Slovak Republic,UIS.TE_100000.56.F,3617.383789
Slovak Republic,UIS.TE_100000.56.M,3104.884766
